disease,column_name,display_name,unit,normal_min,normal_max,sex_specific,male_normal_min,male_normal_max,female_normal_min,female_normal_max,direction_of_concern,mild_low_threshold,mild_high_threshold,critical_low_threshold,critical_high_threshold,label_0_normal,label_1_mild,label_2_critical,verified_source,clinical_notes
Liver_Disease,ast_sgot,AST (SGOT — Aspartate Aminotransferase),U/L,NA,40,No,NA,NA,NA,NA,HIGH_BAD,NA,40,NA,120,< 40 U/L,40–120 U/L (1–3× ULN — mild injury),> 120 U/L (> 3× ULN — significant injury); > 1000 = ischaemic/toxic hepatitis,AASLD 2023 / EASL 2023 / NHANES,Less liver-specific than ALT (also in cardiac/skeletal muscle). AST/ALT > 2 = alcoholic hepatitis. AST/ALT < 1 = NAFLD/viral hepatitis. Feature in UCI ILPD (Indian Liver Patient Dataset). Both required for comprehensive liver model.
Liver_Disease,alk_phosphatase,Alkaline Phosphatase (ALP),U/L,44,147,No,NA,NA,NA,NA,HIGH_BAD,NA,147,NA,440,44–147 U/L (adult; postpubertal),148–440 U/L (1–3× ULN — cholestatic or bone disease),> 440 U/L (> 3× ULN — significant cholestasis / bone metastasis),AASLD 2023 / NHANES laboratory reference,"Elevated mainly in cholestatic liver disease (PBC, PSC, bile duct obstruction) and bone disease (Paget, metastasis). NOTE: physiologically high in pregnancy and adolescent growth. Confirm liver origin with GGT (if GGT also high → liver source)."
Liver_Disease,ggt,GGT (Gamma-Glutamyl Transferase),U/L,NA,NA,Yes,10,55,6,38,HIGH_BAD,NA,55,NA,165,< 55 U/L (men); < 38 U/L (women),>= 55 (men) or >= 38 (women) to 3× ULN (mild–moderate elevation),> 165 (men) or > 114 (women) — > 3× ULN (significant elevation),NHANES / AASLD 2023 / Clinical laboratory reference ranges,"Highly sensitive for liver disease and alcohol use. GGT elevated in NAFLD, cholestasis, drug-induced liver injury, alcohol (most sensitive marker). Used to confirm ALP is of hepatic origin. Microsomal enzyme inducer (phenytoin, warfarin) elevates GGT without true liver disease."
Liver_Disease,total_bilirubin,Total Bilirubin,mg/dL,0.2,1.2,No,NA,NA,NA,NA,HIGH_BAD,NA,1.2,NA,3.0,0.2–1.2 mg/dL,1.2–3.0 mg/dL (mild hyperbilirubinaemia; scleral icterus at ~2.5),> 3.0 mg/dL (jaundice clinically evident); > 10.0 = severe/critical,AASLD 2023 / NHANES / Clinical laboratory reference ranges,Total = direct + indirect. In liver failure: ≥ 3 = MELD score component (mortality predictor). In haemolysis: indirect elevated. In bile duct obstruction: direct elevated. Gilbert syndrome: mild unconjugated hyperbilirubinaemia (benign).
Liver_Disease,direct_bilirubin,Direct Bilirubin (Conjugated),mg/dL,0.0,0.3,No,NA,NA,NA,NA,HIGH_BAD,NA,0.3,NA,2.0,0.0–0.3 mg/dL,0.3–2.0 mg/dL (cholestatic; hepatocellular; biliary obstruction),> 2.0 mg/dL (significant hepatocellular or obstructive jaundice),NHANES / AASLD 2023,"Elevated in hepatitis, cirrhosis, bile duct obstruction, Dubin-Johnson syndrome. Direct/Total ratio > 50% = conjugated hyperbilirubinaemia (hepatic/post-hepatic). < 20% = pre-hepatic (haemolysis). Feature in ILPD dataset."
Liver_Disease,serum_albumin,Serum Albumin,g/dL,3.5,5.0,No,NA,NA,NA,NA,LOW_BAD,3.5,NA,3.0,NA,3.5–5.0 g/dL,3.0–3.49 g/dL (mild hypoalbuminaemia; chronic liver disease),< 3.0 g/dL (severe; Child-Pugh score component; poor prognosis),AASLD 2023 / Child-Pugh-Turcotte Classification,"Reflects hepatic synthetic function (half-life 20 days; responds slowly). Low in cirrhosis, nephrotic syndrome, malnutrition, protein-losing enteropathy. One of 5 Child-Pugh criteria (cirrhosis prognosis). Feature in UCI ILPD."
Liver_Disease,total_protein,Total Protein,g/dL,6.0,8.3,No,NA,NA,NA,NA,BOTH,6.0,8.3,4.5,10.0,6.0–8.3 g/dL,4.5–5.9 g/dL (mild low; malnutrition/liver disease) OR 8.4–10.0 (mild high),< 4.5 g/dL (severe hypoproteinaemia) OR > 10.0 g/dL (paraprotein; MM),NHANES / AASLD / Clinical laboratory reference ranges,Total protein = albumin + globulin. Low in liver failure + malnutrition. High in multiple myeloma (paraproteinaemia) or dehydration. A/G ratio (normal 1.2–2.2) used with total protein in UCI ILPD dataset.
Liver_Disease,ag_ratio,Albumin/Globulin Ratio (A/G Ratio),ratio,1.2,2.2,No,NA,NA,NA,NA,LOW_BAD,1.2,NA,0.8,NA,1.2–2.2,0.8–1.19 (low A/G — chronic liver disease / autoimmune / infection),< 0.8 (reversed A/G — significant liver disease or gammopathy),AASLD / UCI ILPD dataset reference,"A/G = Albumin / (Total Protein − Albumin). Reversal (<1.0) suggests reduced albumin production (liver disease) or increased globulin (chronic infection, autoimmune, multiple myeloma). Key feature in UCI ILPD (Indian dataset)."
Liver_Disease,prothrombin_time,Prothrombin Time (PT),seconds,11.0,13.5,No,NA,NA,NA,NA,HIGH_BAD,NA,13.5,NA,18.0,11.0–13.5 seconds (INR 0.8–1.1),13.6–18.0 seconds (INR 1.1–1.5; mild coagulopathy),> 18.0 seconds (INR > 1.5; significant synthetic dysfunction),AASLD 2023 / Child-Pugh / MELD score criteria,"Clotting factor synthesis (II, VII, IX, X, protein C/S) depends on liver. PT prolonged in liver failure. INR = PT_patient/PT_control. MELD score uses INR. Child-Pugh: INR < 1.7 (1 pt); 1.7–2.3 (2 pts); > 2.3 (3 pts)."
Liver_Disease,inr,INR (International Normalised Ratio),ratio,0.8,1.1,No,NA,NA,NA,NA,HIGH_BAD,NA,1.1,NA,1.5,0.8–1.1,1.1–1.5 (mild coagulopathy; Child-Pugh 2 pts if 1.7–2.3),> 1.5 (significant liver synthetic dysfunction); > 2.3 = Child-Pugh 3 pts,AASLD 2023 / MELD Score Criteria,MELD = 3.78×ln(Bilirubin) + 11.2×ln(INR) + 9.57×ln(Creatinine) + 6.43. MELD > 15 = transplant evaluation. INR > 1.5 = coagulopathy requiring monitoring. Not affected by anticoagulants in this context.
Thyroid_Disorder,tsh,TSH (Thyroid Stimulating Hormone),mIU/L,0.4,4.0,No,NA,NA,NA,NA,BOTH,0.1,4.0,0.01,10.0,0.4–4.0 mIU/L (euthyroid),4.1–10.0 mIU/L (subclinical hypothyroidism) OR 0.1–0.39 (subclinical hyperthyroidism),> 10.0 mIU/L (overt hypothyroidism) OR < 0.1 mIU/L (overt hyperthyroidism),ATA 2023 Guidelines / Endocrine Society Clinical Practice Guideline 2012,TSH is the single most sensitive thyroid test. Pituitary TSH responds inversely to thyroid hormone levels. Most sensitive for early dysfunction. In pregnancy (first trimester) target TSH < 2.5 mIU/L. Elderly: upper limit may be higher (4.5–6.0).
Thyroid_Disorder,free_t4,Free T4 (Free Thyroxine — FT4),ng/dL,0.8,1.8,No,NA,NA,NA,NA,BOTH,0.8,1.8,0.5,3.0,0.8–1.8 ng/dL,0.5–0.79 ng/dL (low FT4 — hypothyroid) OR 1.9–2.9 ng/dL (mildly elevated),< 0.5 ng/dL (overt hypothyroidism) OR >= 3.0 ng/dL (overt hyperthyroidism),ATA 2023 / Endocrine Society 2012 / NHANES reference intervals,Free (unbound) thyroxine — the active circulating form. Measured directly (immunoassay) rather than calculated. Required to distinguish overt vs subclinical dysfunction: TSH high + FT4 normal = subclinical; TSH high + FT4 low = overt hypothyroidism.
Thyroid_Disorder,free_t3,Free T3 (Free Triiodothyronine — FT3),pg/mL,2.3,4.2,No,NA,NA,NA,NA,BOTH,2.3,4.2,1.5,6.0,2.3–4.2 pg/mL,1.5–2.29 pg/mL (low — hypothyroid) OR 4.3–5.9 pg/mL (mildly elevated),< 1.5 pg/mL (overt hypothyroidism) OR >= 6.0 pg/mL (overt hyperthyroidism; T3 toxicosis),ATA 2023 / Endocrine Society 2012,Most metabolically active thyroid hormone. FT3 elevated in early Graves disease and T3 thyrotoxicosis (FT3 rises before FT4). Also used in monitoring T3 replacement therapy. T3 toxicosis = TSH suppressed + FT4 normal + FT3 elevated.
Thyroid_Disorder,total_t4,Total T4 (Total Thyroxine),µg/dL,5.0,12.5,No,NA,NA,NA,NA,BOTH,5.0,12.5,3.0,15.0,5.0–12.5 µg/dL,3.0–4.9 µg/dL (low) OR 12.6–15.0 µg/dL (mildly elevated),< 3.0 µg/dL (overt hypothyroidism) OR > 15.0 µg/dL (overt hyperthyroidism),NHANES / Clinical laboratory reference ranges,"Includes protein-bound + free T4. Affected by TBG changes (pregnancy, OCP increase TBG → raises total T4 but not free T4). Less reliable than FT4 for diagnosis. Use in conjunction with FT4 and TSH. Feature in UCI Thyroid dataset."
Thyroid_Disorder,total_t3,Total T3 (Total Triiodothyronine),ng/dL,80,200,No,NA,NA,NA,NA,BOTH,80,200,50,250,80–200 ng/dL,50–79 ng/dL (low) OR 201–250 ng/dL (mildly elevated),< 50 ng/dL (severe hypothyroidism) OR > 250 ng/dL (T3 thyrotoxicosis),NHANES / Clinical laboratory reference ranges,Most active thyroid hormone. T3 toxicosis: FT3 elevated with normal FT4. In severe illness: low T3 syndrome (euthyroid sick syndrome) — T4 → reverse T3 instead of T3. Feature in UCI Thyroid dataset.
Thyroid_Disorder,anti_tpo,Anti-Thyroid Peroxidase Antibody (Anti-TPO),IU/mL,NA,34,No,NA,NA,NA,NA,HIGH_BAD,NA,35,NA,200,< 35 IU/mL (negative),35–200 IU/mL (positive; early autoimmune thyroid disease),> 200 IU/mL (strongly positive; Hashimoto thyroiditis or Graves disease),ATA 2023 / Endocrine Society 2012 / AACE/ATA Thyroid Nodule Guidelines,Elevated in 95% of Hashimoto thyroiditis (autoimmune hypothyroidism) and ~75% of Graves disease (autoimmune hyperthyroidism). Most useful antibody for autoimmune thyroid disease diagnosis. In euthyroid persons: elevated anti-TPO = 38× lifetime risk of developing hypothyroidism.
Thyroid_Disorder,anti_tg,Anti-Thyroglobulin Antibody (Anti-TG),IU/mL,NA,114,No,NA,NA,NA,NA,HIGH_BAD,NA,115,NA,500,< 115 IU/mL (negative),115–500 IU/mL (positive; autoimmune thyroid disease),> 500 IU/mL (strongly positive),ATA 2023 / Endocrine Society 2012,Elevated in 60–80% of Hashimoto and 50–70% of Graves. Less sensitive than anti-TPO for Hashimoto diagnosis. Critical for thyroid cancer monitoring: anti-TG interferes with thyroglobulin assay — must measure both.
Thyroid_Disorder,t3_resin_uptake,T3 Resin Uptake (T3RU),%,24,37,No,NA,NA,NA,NA,BOTH,24,37,18,42,24–37%,18–23.9% (low — hypothyroid or increased TBG) OR 37.1–42.0% (mildly elevated),< 18% (overt hypothyroidism or very high TBG) OR > 42% (hyperthyroidism),NHANES / Clinical laboratory reference ranges,"Indirect measure of TBG binding capacity. Used to calculate Free Thyroxine Index (FTI = T4 × T3RU/100). FTI normal = 4.2–13.0. If direct FT4 available, T3RU is redundant. Present in older datasets (UCI Thyroid dataset)."
Thyroid_Disorder,thyroglobulin,Thyroglobulin (Tg),ng/mL,1.5,38.5,No,NA,NA,NA,NA,HIGH_BAD,NA,38.5,NA,100,1.5–38.5 ng/mL (in intact thyroid),Context-dependent: post-thyroidectomy any detectable level = concerning,> 100 ng/mL OR any detectable level post-thyroidectomy (cancer recurrence),ATA 2015 Management Guidelines for Differentiated Thyroid Cancer,Primary use: thyroid cancer surveillance (tumour marker for papillary/follicular cancer). Undetectable post-thyroidectomy = complete remission. Rising level = recurrence. Anti-TG antibodies invalidate the assay. Not a routine thyroid function test.
